자치구,행정동,기초생활수급자인원,노년부양비,고령자수,노령화지수,무료급식소개수,점수,순위,cluster
강동구,둔촌2동,536,24.1,4244,175.7,0,-0.214567121,176,1
관악구,중앙동,608,18.9,2393,398.2,1,-0.220575974,177,1
양천구,목2동,1119,19.4,4400,177.5,0,-0.223981091,178,1
마포구,도화동,503,25.1,3795,180.7,0,-0.227115544,179,1
도봉구,창4동,351,23.7,4501,173.5,0,-0.246306523,180,1
강서구,화곡2동,935,23.3,3047,189.4,0,-0.258547057,181,1
강북구,삼각산동,1319,21.6,4703,105.8,0,-0.264582486,182,1
영등포구,신길4동,707,26.7,2416,190,0,-0.264929368,183,1
강서구,공항동,1771,20.1,4398,100.1,0,-0.267292919,184,1
노원구,공릉2동,965,18.8,5922,116.4,0,-0.267538201,185,1
동작구,사당3동,585,27.7,4656,172.3,1,-0.272699872,186,1
양천구,신월5동,767,25.1,2614,192.9,0,-0.275904472,187,1
강서구,우장산동,694,20.2,6203,105.3,0,-0.277002465,188,1
중랑구,상봉1동,1714,23.2,3991,161.5,1,-0.284861917,189,1
관악구,남현동,365,21,2939,257.7,0,-0.292509387,190,1
마포구,망원2동,529,23.7,3215,198,0,-0.293025436,191,1
금천구,독산1동,1765,16.8,6124,139.8,1,-0.302674484,192,1
중랑구,신내2동,1440,30.7,4295,233.7,3,-0.316786331,193,1
영등포구,영등포본동,1020,26.7,4257,230.8,2,-0.330508305,194,1
영등포구,신길5동,577,26.9,2060,185.9,0,-0.342669416,195,1
강서구,등촌2동,432,22.7,3350,192.4,0,-0.350370011,196,1
마포구,성산1동,584,20.8,3018,218.3,0,-0.35064721,197,1
동작구,신대방1동,597,22.2,3947,158.8,0,-0.352158948,198,1
마포구,합정동,566,20.2,2675,240.4,0,-0.355722074,199,1
노원구,하계2동,1241,21.7,3404,133.8,0,-0.358388803,200,1
도봉구,쌍문4동,360,24.9,3276,170.1,0,-0.360310631,201,1
서대문구,천연동,754,27.2,3266,190.9,1,-0.368638853,202,1
마포구,연남동,271,19.5,2299,278.7,0,-0.386499069,203,1
양천구,목3동,1094,21.9,3591,208.9,1,-0.389148243,204,1
강동구,명일1동,375,23.5,4262,132.1,0,-0.393734994,205,1
성북구,안암동,482,14.7,2105,327.6,0,-0.395034115,206,1
성북구,정릉1동,423,24.9,3208,154.3,0,-0.398627326,207,1
동작구,상도2동,522,21.8,4390,131.2,0,-0.407492086,208,1
관악구,대학동,1353,14.5,3178,290.5,1,-0.413943536,209,1
양천구,신월4동,414,28.6,3487,172.6,1,-0.421594659,210,1
성북구,월곡1동,1018,26.9,4915,167.1,2,-0.423165164,211,1
서대문구,북가좌1동,544,24.8,3097,141.7,0,-0.423381974,212,1
동대문구,이문2동,1009,20,4110,118.7,0,-0.428968772,213,1
은평구,응암2동,1081,21.4,4138,93.6,0,-0.429764864,214,1
마포구,상암동,1219,19.1,4255,102.7,0,-0.440160949,215,1
구로구,구로3동,492,18.6,3548,193.4,0,-0.455912793,216,1
관악구,신림동,846,9.3,1970,434.3,1,-0.458172584,217,1
강서구,발산1동,1546,19.8,5132,100.4,1,-0.478000268,218,1
서대문구,충현동,718,23.1,3468,197.7,1,-0.479447905,219,1
동작구,사당5동,377,23.1,2443,179.1,0,-0.49679805,220,1
동작구,신대방2동,589,20.9,3456,144.1,0,-0.501670868,221,1
관악구,난향동,654,27.1,2840,169.6,1,-0.507187974,222,1
관악구,청림동,620,27,2834,171.9,1,-0.512832756,223,1
영등포구,문래동,276,21,4823,104.3,0,-0.515712614,224,1
성북구,길음1동,592,19.8,4809,81.8,0,-0.550907731,225,1
강동구,성내1동,331,22,3191,144.3,0,-0.553550947,226,1
노원구,상계10동,437,21.4,2922,151.6,0,-0.562772298,227,1
중랑구,면목5동,813,22.3,2375,132.4,0,-0.564882137,228,1
성북구,보문동,486,20.5,2578,171.5,0,-0.569450555,229,1
성북구,돈암2동,372,21.6,3646,117.7,0,-0.577897547,230,1
영등포구,당산2동,294,17,4830,129.9,0,-0.581302512,231,1
마포구,신수동,410,20.1,3371,138.8,0,-0.596726641,232,1
구로구,신도림동,188,19.2,4984,97.1,0,-0.600873666,233,1
마포구,서교동,418,15,3299,284.1,1,-0.614645157,234,1
은평구,수색동,574,25,2373,181.1,1,-0.625054178,235,1
구로구,가리봉동,643,27.6,1954,329.8,3,-0.625383086,236,1
강동구,암사2동,170,23.5,2521,141.6,0,-0.626364841,237,1
동작구,대방동,1519,21,5805,161.7,3,-0.663620308,238,1
강동구,상일제2동,689,23.3,1909,104.9,0,-0.692053145,239,1
금천구,가산동,801,12.4,2726,280.1,1,-0.700369332,240,1
강동구,암사3동,133,23.7,2817,102.7,0,-0.701305287,241,1
동대문구,휘경1동,386,16.6,2164,200.1,0,-0.701498034,242,1
강동구,상일제1동,396,18,4835,65.3,0,-0.703599414,243,1
성북구,동선동,458,17.1,2178,270.1,1,-0.706595265,244,1
관악구,낙성대동,444,13.6,2025,229.9,0,-0.728152489,245,1
강동구,고덕2동,588,20,3161,84,0,-0.739365714,246,1
강서구,등촌1동,309,15.2,3048,169.6,0,-0.747396722,247,1
양천구,목5동,49,17.3,5033,75.6,0,-0.755300301,248,1
강동구,둔촌1동,1,19,11,275,0,-0.75581341,249,1
양천구,목4동,997,17.8,3397,136.2,1,-0.786338114,250,1
동대문구,회기동,364,13.8,1552,230.5,0,-0.795395883,251,1
노원구,상계8동,353,18.8,3053,99.8,0,-0.804921329,252,1
양천구,신정1동,263,20.3,2840,92.1,0,-0.819778337,253,1
강서구,염창동,233,15,4650,78.2,0,-0.834371445,254,1
성북구,장위3동,593,19.2,2192,96.6,0,-0.849361253,255,1
영등포구,양평1동,314,16.8,2416,137.4,0,-0.856939082,256,1
구로구,구로1동,100,18.6,2857,106.6,0,-0.875028482,257,1
영등포구,신길7동,289,18.6,2657,91.5,0,-0.898454158,258,1
강동구,명일2동,179,22.6,2790,127.2,1,-0.902722503,259,1
서대문구,신촌동,534,9.3,2114,207.7,0,-0.912600421,260,1
강서구,가양1동,307,11.5,3292,143.7,0,-0.923149182,261,1
강동구,고덕1동,309,18.4,3012,66.9,0,-0.927050393,262,1
양천구,목1동,345,16.1,3495,66.9,0,-0.941965197,263,1
성북구,길음2동,516,20,3108,101.4,1,-0.951875553,264,1
영등포구,양평2동,278,14.8,2625,120.4,0,-0.959036128,265,1
서대문구,북아현동,595,20.1,2318,123,1,-0.965533758,266,1
양천구,신정6동,77,17.5,3041,82.2,0,-0.965920149,267,1
